year,month,day,hour,count,subrate
2019,9,5,5,9,0.8888888888888888
2019,9,5,6,18,0.9444444444444444
2019,9,5,7,56,0.9464285714285714
2019,9,5,8,83,0.927710843373494
2019,9,5,9,45,0.9555555555555556
2019,9,5,10,19,0.6842105263157895
2019,9,5,11,27,0.7037037037037037
2019,9,5,12,18,0.5555555555555556
2019,9,5,13,13,0.8461538461538461
2019,9,5,14,29,0.5517241379310345
2019,9,5,15,28,0.75
2019,9,5,16,29,0.7586206896551724
2019,9,5,17,53,0.8113207547169812
2019,9,5,18,61,0.819672131147541
2019,9,5,19,49,0.8163265306122449
2019,9,5,20,19,0.8421052631578947
2019,9,5,21,5,0.8
2019,9,5,22,3,1.0
2019,9,5,23,2,1.0
2019,9,6,4,2,1.0
2019,9,6,5,4,1.0
2019,9,6,6,20,0.85
2019,9,6,7,41,0.8536585365853658
2019,9,6,8,73,0.9452054794520548
2019,9,6,9,29,0.9310344827586207
2019,9,6,10,24,0.7916666666666666
2019,9,6,11,12,0.6666666666666666
2019,9,6,12,16,0.625
2019,9,6,13,3,1.0
2019,9,6,14,7,0.7142857142857143
2019,9,6,15,1,1.0
2019,9,6,16,7,0.42857142857142855
2019,9,6,17,7,0.8571428571428571
2019,9,6,18,23,0.8260869565217391
2019,9,6,19,11,1.0
2019,9,6,20,6,0.6666666666666666
2019,9,6,21,5,0.8
2019,9,6,22,3,1.0
2019,9,6,23,1,1.0
2019,9,7,0,1,0.0
2019,9,7,1,1,0.0
2019,9,7,5,1,1.0
2019,9,7,7,2,1.0
2019,9,7,8,13,0.7692307692307693
2019,9,7,9,26,0.6923076923076923
2019,9,7,10,33,0.5151515151515151
2019,9,7,11,34,0.4117647058823529
2019,9,7,12,44,0.4318181818181818
2019,9,7,13,47,0.46808510638297873
2019,9,7,14,38,0.5
2019,9,7,15,44,0.45454545454545453
2019,9,7,16,40,0.45
2019,9,7,17,41,0.5609756097560976
2019,9,7,18,33,0.3333333333333333
2019,9,7,19,24,0.7083333333333334
2019,9,7,20,15,0.6
2019,9,7,21,7,0.5714285714285714
2019,9,7,22,6,0.3333333333333333
2019,9,7,23,8,0.375
2019,9,8,0,2,1.0
2019,9,8,2,1,1.0
2019,9,8,4,1,0.0
2019,9,8,6,2,1.0
2019,9,8,7,3,1.0
2019,9,8,8,9,0.8888888888888888
2019,9,8,9,29,0.7586206896551724
2019,9,8,10,21,0.5238095238095238
2019,9,8,11,31,0.5161290322580645
2019,9,8,12,45,0.7111111111111111
2019,9,8,13,32,0.59375
2019,9,8,14,54,0.4444444444444444
2019,9,8,15,55,0.6363636363636364
2019,9,8,16,37,0.5405405405405406
2019,9,8,17,20,0.8
2019,9,8,18,36,0.6388888888888888
2019,9,8,19,21,0.7142857142857143
2019,9,8,20,13,0.7692307692307693
2019,9,8,21,8,0.5
2019,9,8,22,6,0.5
2019,9,8,23,2,0.5
2019,9,9,2,1,1.0
2019,9,9,5,7,1.0
2019,9,9,6,19,1.0
2019,9,9,7,67,0.8955223880597015
2019,9,9,8,107,0.9626168224299065
2019,9,9,9,55,0.8545454545454545
2019,9,9,10,24,0.7916666666666666
2019,9,9,11,9,1.0
2019,9,9,12,12,0.75
2019,9,9,13,16,0.625
2019,9,9,14,30,0.6
2019,9,9,15,21,0.6190476190476191
2019,9,9,16,29,0.7586206896551724
2019,9,9,17,69,0.782608695652174
2019,9,9,18,60,0.8833333333333333
2019,9,9,19,29,0.7931034482758621
2019,9,9,20,25,0.84
2019,9,9,21,7,1.0
2019,9,9,22,1,1.0
2019,9,9,23,1,1.0
2019,9,10,2,1,1.0
2019,9,10,5,9,0.8888888888888888
2019,9,10,6,21,1.0
2019,9,10,7,37,0.972972972972973
2019,9,10,8,75,0.96
2019,9,10,9,38,0.8421052631578947
2019,9,10,10,20,0.7
2019,9,10,11,18,0.7222222222222222
2019,9,10,12,13,0.6153846153846154
2019,9,10,13,10,0.8
2019,9,10,14,22,0.6363636363636364
2019,9,10,15,20,0.6
2019,9,10,16,31,0.5161290322580645
2019,9,10,17,66,0.8181818181818182
2019,9,10,18,66,0.8787878787878788
2019,9,10,19,36,0.7222222222222222
2019,9,10,20,37,0.918918918918919
2019,9,10,21,9,0.8888888888888888
2019,9,10,22,6,0.8333333333333334
2019,9,10,23,3,1.0
2019,9,11,1,3,0.6666666666666666
2019,9,11,2,7,0.2857142857142857
2019,9,11,5,9,0.8888888888888888
2019,9,11,6,33,0.8787878787878788
2019,9,11,7,65,0.9846153846153847
2019,9,11,8,106,0.9056603773584906
2019,9,11,9,55,0.9272727272727272
2019,9,11,10,20,0.6
2019,9,11,11,19,0.42105263157894735
2019,9,11,12,23,0.7391304347826086
2019,9,11,13,14,0.7857142857142857
2019,9,11,14,14,0.7142857142857143
2019,9,11,15,31,0.7419354838709677
2019,9,11,16,43,0.6976744186046512
2019,9,11,17,69,0.8260869565217391
2019,9,11,18,78,0.782051282051282
2019,9,11,19,58,0.6724137931034483
2019,9,11,20,41,0.7317073170731707
2019,9,11,21,26,0.5384615384615384
2019,9,11,22,14,0.42857142857142855
2019,9,11,23,7,0.5714285714285714
2019,9,12,0,3,0.3333333333333333
2019,9,12,2,2,1.0
2019,9,12,5,11,0.8181818181818182
2019,9,12,6,20,1.0
2019,9,12,7,63,0.9523809523809523
2019,9,12,8,79,0.9367088607594937
2019,9,12,9,37,0.972972972972973
2019,9,12,10,15,0.9333333333333333
2019,9,12,11,8,0.875
2019,9,12,12,22,0.6818181818181818
2019,9,12,13,7,0.8571428571428571
2019,9,12,14,9,0.8888888888888888
2019,9,12,15,13,0.6153846153846154
2019,9,12,16,27,0.8518518518518519
2019,9,12,17,58,0.9310344827586207
2019,9,12,18,25,0.88
2019,9,12,19,8,0.875
2019,9,12,20,3,1.0
2019,9,12,21,1,1.0
2019,9,12,22,2,1.0
2019,9,12,23,1,1.0
2019,9,13,0,2,1.0
2019,9,13,1,1,1.0
2019,9,13,5,3,1.0
2019,9,13,6,24,0.9166666666666666
2019,9,13,7,46,0.9130434782608695
2019,9,13,8,83,0.9759036144578314
2019,9,13,9,51,0.9215686274509803
2019,9,13,10,20,0.5
2019,9,13,11,19,0.631578947368421
2019,9,13,12,15,0.8
2019,9,13,13,13,0.6153846153846154
2019,9,13,14,36,0.6388888888888888
2019,9,13,15,31,0.6451612903225806
2019,9,13,16,45,0.7111111111111111
2019,9,13,17,72,0.7916666666666666
2019,9,13,18,53,0.7924528301886793
2019,9,13,19,31,0.6774193548387096
2019,9,13,20,15,0.8666666666666667
2019,9,13,21,15,0.7333333333333333
2019,9,13,22,7,0.7142857142857143
2019,9,13,23,3,1.0
2019,9,14,0,4,1.0
2019,9,14,5,1,1.0
2019,9,14,7,10,0.8
2019,9,14,8,14,0.6428571428571429
2019,9,14,9,27,0.6666666666666666
2019,9,14,10,24,0.6666666666666666
2019,9,14,11,42,0.5952380952380952
2019,9,14,12,40,0.475
2019,9,14,13,35,0.6285714285714286
2019,9,14,14,35,0.42857142857142855
2019,9,14,15,21,0.5238095238095238
2019,9,14,16,45,0.4888888888888889
2019,9,14,17,31,0.4838709677419355
2019,9,14,18,33,0.6363636363636364
2019,9,14,19,14,0.7857142857142857
2019,9,14,20,15,0.26666666666666666
2019,9,14,21,8,0.5
2019,9,14,22,9,0.4444444444444444
2019,9,14,23,6,0.5
2019,9,15,0,3,0.6666666666666666
2019,9,15,1,3,0.3333333333333333
2019,9,15,2,5,0.4
2019,9,15,3,2,0.0
2019,9,15,4,1,0.0
2019,9,15,6,1,1.0
2019,9,15,7,3,1.0
2019,9,15,8,11,0.7272727272727273
2019,9,15,9,29,0.6206896551724138
2019,9,15,10,49,0.3877551020408163
2019,9,15,11,27,0.5185185185185185
2019,9,15,12,39,0.5384615384615384
2019,9,15,13,47,0.5106382978723404
2019,9,15,14,37,0.6216216216216216
2019,9,15,15,47,0.48936170212765956
2019,9,15,16,45,0.5777777777777777
2019,9,15,17,35,0.6571428571428571
2019,9,15,18,58,0.6379310344827587
2019,9,15,19,24,0.6666666666666666
2019,9,15,20,12,0.75
2019,9,15,21,11,0.7272727272727273
2019,9,15,22,5,0.0
2019,9,15,23,2,0.5
2019,9,16,0,4,0.5
2019,9,16,4,1,1.0
2019,9,16,5,7,1.0
2019,9,16,6,16,0.9375
2019,9,16,7,51,0.9803921568627451
2019,9,16,8,119,0.9327731092436975
2019,9,16,9,47,0.8297872340425532
2019,9,16,10,22,0.7727272727272727
2019,9,16,11,20,0.5
2019,9,16,12,14,0.5714285714285714
2019,9,16,13,12,1.0
2019,9,16,14,32,0.625
2019,9,16,15,22,0.6818181818181818
2019,9,16,16,27,0.7777777777777778
2019,9,16,17,46,0.8913043478260869
2019,9,16,18,51,0.803921568627451
2019,9,16,19,32,0.875
2019,9,16,20,13,0.7692307692307693
2019,9,16,21,10,1.0
2019,9,16,22,8,1.0
2019,9,16,23,6,0.5
2019,9,17,5,8,0.875
2019,9,17,6,28,0.9642857142857143
2019,9,17,7,63,0.9365079365079365
2019,9,17,8,120,0.9666666666666667
2019,9,17,9,55,0.8727272727272727
