start,year,month,dayofweek,hour,bikeid
2017-02-03,2017,2,4,12,7
2017-02-03,2017,2,4,13,5
2017-02-03,2017,2,4,14,5
2017-02-03,2017,2,4,15,4
2017-02-03,2017,2,4,16,5
2017-02-03,2017,2,4,17,7
2017-02-03,2017,2,4,18,17
2017-02-03,2017,2,4,19,7
2017-02-03,2017,2,4,20,4
2017-02-03,2017,2,4,21,2
2017-02-03,2017,2,4,22,3
2017-02-03,2017,2,4,23,1
2017-02-04,2017,2,5,1,1
2017-02-04,2017,2,5,2,1
2017-02-04,2017,2,5,6,4
2017-02-04,2017,2,5,7,1
2017-02-04,2017,2,5,8,4
2017-02-04,2017,2,5,9,2
2017-02-04,2017,2,5,10,3
2017-02-04,2017,2,5,11,4
2017-02-04,2017,2,5,12,6
2017-02-04,2017,2,5,13,7
2017-02-04,2017,2,5,14,6
2017-02-04,2017,2,5,15,9
2017-02-04,2017,2,5,16,3
2017-02-04,2017,2,5,17,2
2017-02-04,2017,2,5,18,4
2017-02-04,2017,2,5,19,1
2017-02-04,2017,2,5,20,3
2017-02-04,2017,2,5,22,3
2017-02-04,2017,2,5,23,6
2017-02-05,2017,2,6,0,1
2017-02-05,2017,2,6,1,1
2017-02-05,2017,2,6,6,2
2017-02-05,2017,2,6,7,1
2017-02-05,2017,2,6,8,3
2017-02-05,2017,2,6,10,5
2017-02-05,2017,2,6,11,6
2017-02-05,2017,2,6,12,8
2017-02-05,2017,2,6,13,5
2017-02-05,2017,2,6,14,4
2017-02-05,2017,2,6,15,2
2017-02-05,2017,2,6,16,14
2017-02-05,2017,2,6,17,6
2017-02-05,2017,2,6,18,7
2017-02-05,2017,2,6,19,5
2017-02-05,2017,2,6,20,2
2017-02-05,2017,2,6,21,2
2017-02-05,2017,2,6,22,3
2017-02-05,2017,2,6,23,2
2017-02-06,2017,2,0,0,3
2017-02-06,2017,2,0,4,3
2017-02-06,2017,2,0,5,2
2017-02-06,2017,2,0,6,27
2017-02-06,2017,2,0,7,12
2017-02-06,2017,2,0,8,15
2017-02-06,2017,2,0,9,15
2017-02-06,2017,2,0,10,6
2017-02-06,2017,2,0,11,3
2017-02-06,2017,2,0,12,4
2017-02-06,2017,2,0,13,5
2017-02-06,2017,2,0,14,7
2017-02-06,2017,2,0,15,10
2017-02-06,2017,2,0,16,11
2017-02-06,2017,2,0,17,17
2017-02-06,2017,2,0,18,15
2017-02-06,2017,2,0,19,13
2017-02-06,2017,2,0,20,7
2017-02-06,2017,2,0,21,5
2017-02-06,2017,2,0,22,3
2017-02-07,2017,2,1,0,2
2017-02-07,2017,2,1,4,3
2017-02-07,2017,2,1,5,6
2017-02-07,2017,2,1,6,16
2017-02-07,2017,2,1,7,27
2017-02-07,2017,2,1,8,19
2017-02-07,2017,2,1,9,12
2017-02-07,2017,2,1,10,3
2017-02-07,2017,2,1,11,2
2017-02-07,2017,2,1,12,2
2017-02-07,2017,2,1,13,4
2017-02-07,2017,2,1,14,4
2017-02-07,2017,2,1,15,4
2017-02-07,2017,2,1,16,4
2017-02-07,2017,2,1,17,9
2017-02-07,2017,2,1,18,12
2017-02-07,2017,2,1,19,13
2017-02-07,2017,2,1,20,3
2017-02-07,2017,2,1,21,5
2017-02-07,2017,2,1,22,1
2017-02-08,2017,2,2,2,1
2017-02-08,2017,2,2,5,3
2017-02-08,2017,2,2,6,35
2017-02-08,2017,2,2,7,40
2017-02-08,2017,2,2,8,16
2017-02-08,2017,2,2,9,18
2017-02-08,2017,2,2,10,7
2017-02-08,2017,2,2,11,2
2017-02-08,2017,2,2,12,9
2017-02-08,2017,2,2,13,11
2017-02-08,2017,2,2,14,10
2017-02-08,2017,2,2,15,7
2017-02-08,2017,2,2,16,8
2017-02-08,2017,2,2,17,13
2017-02-08,2017,2,2,18,23
2017-02-08,2017,2,2,19,10
2017-02-08,2017,2,2,20,5
2017-02-08,2017,2,2,21,9
2017-02-08,2017,2,2,22,10
2017-02-08,2017,2,2,23,1
2017-02-10,2017,2,4,14,2
2017-02-10,2017,2,4,15,2
2017-02-10,2017,2,4,16,4
2017-02-10,2017,2,4,17,4
2017-02-10,2017,2,4,18,2
2017-02-10,2017,2,4,19,3
2017-02-10,2017,2,4,20,2
2017-02-10,2017,2,4,21,4
2017-02-10,2017,2,4,23,1
2017-02-11,2017,2,5,1,1
2017-02-11,2017,2,5,2,1
2017-02-11,2017,2,5,5,1
2017-02-11,2017,2,5,6,2
2017-02-11,2017,2,5,7,3
2017-02-11,2017,2,5,8,1
2017-02-11,2017,2,5,9,2
