year,month,day,count
2017.0,10.0,13.0,556
2017.0,10.0,14.0,344
2017.0,10.0,15.0,378
2017.0,10.0,16.0,491
2017.0,10.0,17.0,533
2017.0,10.0,18.0,520
2017.0,10.0,19.0,569
2017.0,10.0,20.0,471
2017.0,10.0,21.0,481
2017.0,10.0,22.0,517
2017.0,10.0,23.0,519
2017.0,10.0,24.0,631
2017.0,10.0,25.0,542
2017.0,10.0,26.0,314
2017.0,10.0,27.0,331
2017.0,10.0,28.0,516
2017.0,10.0,29.0,265
2017.0,10.0,30.0,520
2017.0,10.0,31.0,249
2017.0,11.0,1.0,77
2017.0,11.0,2.0,410
2017.0,11.0,3.0,439
2017.0,11.0,4.0,339
2017.0,11.0,5.0,545
2017.0,11.0,6.0,251
2017.0,11.0,7.0,259
2017.0,11.0,8.0,557
2017.0,11.0,9.0,391
2017.0,11.0,10.0,305
2017.0,11.0,11.0,290
2017.0,11.0,12.0,246
2017.0,11.0,13.0,427
2017.0,11.0,14.0,377
2017.0,11.0,15.0,405
2017.0,11.0,16.0,390
2017.0,11.0,17.0,519
2017.0,11.0,18.0,456
2017.0,11.0,19.0,345
2017.0,11.0,20.0,570
2017.0,11.0,21.0,493
2017.0,11.0,22.0,408
2017.0,11.0,23.0,447
2017.0,11.0,24.0,211
2017.0,11.0,25.0,379
2017.0,11.0,26.0,358
2017.0,11.0,27.0,324
2017.0,11.0,28.0,357
2017.0,11.0,29.0,407
2017.0,11.0,30.0,111
2017.0,12.0,1.0,379
2017.0,12.0,2.0,192
2017.0,12.0,3.0,482
2017.0,12.0,4.0,315
2017.0,12.0,5.0,218
2017.0,12.0,6.0,222
2017.0,12.0,7.0,303
2017.0,12.0,8.0,266
2017.0,12.0,9.0,217
2017.0,12.0,10.0,231
2017.0,12.0,11.0,203
2017.0,12.0,12.0,135
2017.0,12.0,13.0,148
2017.0,12.0,14.0,154
2017.0,12.0,15.0,234
2017.0,12.0,16.0,199
2017.0,12.0,17.0,308
2017.0,12.0,18.0,238
2017.0,12.0,19.0,265
2017.0,12.0,20.0,117
2017.0,12.0,21.0,112
2017.0,12.0,22.0,244
2017.0,12.0,23.0,176
2017.0,12.0,24.0,160
2017.0,12.0,25.0,83
2017.0,12.0,26.0,80
2017.0,12.0,27.0,113
2017.0,12.0,28.0,67
2017.0,12.0,29.0,122
2017.0,12.0,30.0,84
2017.0,12.0,31.0,133
2018.0,1.0,1.0,116
2018.0,1.0,2.0,223
2018.0,1.0,3.0,292
2018.0,1.0,4.0,80
2018.0,1.0,5.0,153
2018.0,1.0,6.0,121
2018.0,1.0,7.0,145
2018.0,1.0,8.0,162
2018.0,1.0,9.0,204
2018.0,1.0,10.0,298
2018.0,1.0,11.0,252
2018.0,1.0,12.0,147
2018.0,1.0,13.0,124
2018.0,1.0,14.0,114
2018.0,1.0,15.0,144
2018.0,1.0,16.0,63
2018.0,1.0,17.0,71
2018.0,1.0,18.0,168
2018.0,1.0,19.0,145
2018.0,1.0,20.0,104
2018.0,1.0,21.0,84
2018.0,1.0,22.0,120
2018.0,1.0,23.0,66
2018.0,1.0,24.0,78
2018.0,1.0,25.0,170
2018.0,1.0,26.0,191
2018.0,1.0,27.0,141
2018.0,1.0,28.0,141
2018.0,1.0,29.0,117
2018.0,1.0,30.0,69
2018.0,1.0,31.0,66
2018.0,2.0,1.0,54
2018.0,2.0,2.0,63
2018.0,2.0,3.0,54
2018.0,2.0,4.0,39
2018.0,2.0,5.0,39
2018.0,2.0,6.0,28
2018.0,2.0,7.0,61
2018.0,2.0,8.0,90
2018.0,2.0,9.0,28
2018.0,2.0,10.0,29
2018.0,2.0,11.0,23
2018.0,2.0,12.0,61
2018.0,2.0,13.0,104
2018.0,2.0,14.0,106
2018.0,2.0,15.0,160
2018.0,2.0,16.0,82
2018.0,2.0,17.0,52
2018.0,2.0,18.0,39
2018.0,2.0,19.0,49
2018.0,2.0,20.0,89
2018.0,2.0,21.0,89
2018.0,2.0,22.0,101
2018.0,2.0,23.0,91
2018.0,2.0,24.0,150
2018.0,2.0,25.0,133
2018.0,2.0,26.0,139
2018.0,2.0,27.0,117
2018.0,2.0,28.0,133
2018.0,3.0,1.0,95
2018.0,3.0,2.0,60
2018.0,3.0,3.0,111
2018.0,3.0,4.0,146
2018.0,3.0,5.0,149
2018.0,3.0,6.0,108
2018.0,3.0,7.0,56
2018.0,3.0,8.0,72
2018.0,3.0,9.0,94
2018.0,3.0,10.0,87
2018.0,3.0,11.0,40
2018.0,3.0,12.0,91
2018.0,3.0,13.0,64
2018.0,3.0,14.0,113
2018.0,3.0,15.0,85
2018.0,3.0,16.0,112
2018.0,3.0,17.0,71
2018.0,3.0,18.0,89
2018.0,3.0,19.0,45
2018.0,3.0,20.0,148
2018.0,3.0,21.0,62
2018.0,3.0,22.0,95
2018.0,3.0,23.0,143
2018.0,3.0,24.0,179
2018.0,3.0,25.0,71
2018.0,3.0,26.0,107
2018.0,3.0,27.0,108
2018.0,3.0,28.0,90
2018.0,3.0,29.0,247
2018.0,3.0,30.0,293
2018.0,3.0,31.0,93
2018.0,4.0,1.0,65
2018.0,4.0,2.0,122
2018.0,4.0,3.0,63
2018.0,4.0,4.0,165
2018.0,4.0,5.0,224
2018.0,4.0,6.0,144
2018.0,4.0,7.0,243
2018.0,4.0,8.0,111
2018.0,4.0,9.0,98
2018.0,4.0,10.0,81
2018.0,4.0,11.0,129
2018.0,4.0,12.0,171
2018.0,4.0,13.0,125
2018.0,4.0,14.0,100
2018.0,4.0,15.0,70
2018.0,4.0,16.0,113
2018.0,4.0,17.0,161
2018.0,4.0,18.0,118
2018.0,4.0,19.0,159
2018.0,4.0,20.0,162
2018.0,4.0,21.0,101
2018.0,4.0,22.0,137
2018.0,4.0,23.0,156
2018.0,4.0,24.0,156
2018.0,4.0,25.0,79
2018.0,4.0,26.0,152
2018.0,4.0,27.0,226
2018.0,4.0,28.0,106
2018.0,4.0,29.0,166
2018.0,4.0,30.0,168
2018.0,5.0,1.0,186
2018.0,5.0,2.0,193
2018.0,5.0,3.0,176
2018.0,5.0,4.0,277
2018.0,5.0,5.0,155
2018.0,5.0,6.0,91
2018.0,5.0,7.0,121
2018.0,5.0,8.0,171
2018.0,5.0,9.0,179
2018.0,5.0,10.0,164
2018.0,5.0,11.0,158
